severity,ppt,tmax,vpdmax,fuel_model,vegetation_type,canopy_cover,slope_deg,aspect_deg,elevation_m,treated,fire,x,y,fuel_model_group,vegetation_type_group
200,7.2819,32.3265,40.8257,188,7158,35,1,-1,1427,1,Antelope_2021,-122.0171919205568,41.650090476212824,Timber Litter,Tree
-265,7.8671,32.3878,41.5895,122,7031,25,8,134,1477,0,Antelope_2021,-122.02700570037388,41.67590030124956,Grass-Shrub,Tree
-100,9.8171,32.6797,41.938,165,7172,0,7,73,1603,1,Antelope_2021,-122.03682670032724,41.701710081351806,Timber-Understory,Tree
-218,9.8171,32.6797,41.938,189,7027,35,3,53,1508,1,Antelope_2021,-122.0466549281777,41.72751982181345,Timber Litter,Tree
-1386,6.911,32.303898,40.458298,102,7966,0,0,-1,1304,1,Antelope_2021,-122.056490391697,41.753329527935136,Grass,Herb
5,8.2574,32.9167,42.5195,102,7967,0,0,-1,1299,1,Antelope_2021,-122.06633309866757,41.779139205023554,Grass,Herb
-9,8.2574,32.9167,42.5195,93,7965,0,0,-1,1303,0,Antelope_2021,-122.07618305688281,41.804948858392386,Non-Burnable,Agriculture
-12,3.2879999,32.2785,41.7529,162,7126,45,12,281,1542,0,Antelope_2021,-121.88462994776617,41.399203412053886,Timber-Understory,Shrub
206,3.2879999,32.2785,41.7529,122,7027,35,1,-1,1478,0,Antelope_2021,-121.89436018617343,41.4250167998336,Grass-Shrub,Tree
593,3.3874,30.1616,37.0184,184,7032,45,10,73,1659,0,Antelope_2021,-121.9040975605358,41.450830093785385,Timber Litter,Tree
973,3.3874,30.1616,37.0184,184,7032,35,19,14,2038,0,Antelope_2021,-121.91384207850159,41.47664329914599,Timber Litter,Tree
826,3.8787,30.248999,37.246098,184,7058,55,4,59,1838,0,Antelope_2021,-121.92359374772961,41.50245642115826,Timber Litter,Tree
944,4.6466,32.079998,41.3345,183,7032,55,9,47,1693,0,Antelope_2021,-121.93335257588934,41.528269465071425,Timber Litter,Tree
905,5.1514997,29.285099,34.858997,189,7027,35,14,56,1601,1,Antelope_2021,-121.94311857066104,41.55408243614109,Timber Litter,Tree
-79,6.2931,32.4664,41.3938,122,7031,25,3,44,1468,1,Antelope_2021,-121.95289173973548,41.57989533962904,Grass-Shrub,Tree
-207,6.2787,32.641,41.979298,122,7017,35,3,303,1451,1,Antelope_2021,-121.96267209081422,41.60570818080346,Grass-Shrub,Tree
-252,6.2787,32.641,41.979298,122,7157,0,1,-1,1422,1,Antelope_2021,-121.97245963160955,41.6315209649389,Grass-Shrub,Shrub
73,7.2819,32.3265,40.8257,142,7062,0,10,208,1436,1,Antelope_2021,-121.98225436984441,41.65733369731632,Shrub,Tree
-11,7.2819,32.3265,40.8257,122,7017,35,2,-1,1357,1,Antelope_2021,-121.9920563132526,41.68314638322324,Grass-Shrub,Tree
-33,7.8433,32.096,40.173,122,7032,35,23,58,1448,1,Antelope_2021,-122.0018654695786,41.708959027953355,Grass-Shrub,Tree
40,7.3238997,32.1474,39.7738,122,7126,0,1,-1,1316,1,Antelope_2021,-122.01168184657767,41.73477163680695,Grass-Shrub,Shrub
-8,6.911,32.303898,40.458298,145,7080,0,0,-1,1303,0,Antelope_2021,-122.02150545201599,41.760584215090816,Shrub,Shrub
441,6.8743,32.215298,39.8676,102,7966,0,0,-1,1299,1,Antelope_2021,-122.03133629367045,41.78639676811821,Grass,Herb
-2592,6.8743,32.215298,39.8676,102,7966,0,0,-1,1295,1,Antelope_2021,-122.04117437932881,41.81220930120894,Grass,Herb
6,3.3525999,31.872799,41.1431,165,7172,0,11,340,1536,0,Antelope_2021,-121.84980323703334,41.40640882075014,Timber-Understory,Tree
-31,3.2879999,32.2785,41.7529,165,7027,45,7,132,1500,0,Antelope_2021,-121.85952170327343,41.43222502951666,Timber-Understory,Tree
-139,3.362,32.2506,41.927498,122,7027,25,0,-1,1497,0,Antelope_2021,-121.86924729829504,41.458041148148475,Grass-Shrub,Tree
297,3.4878,30.1031,36.8751,122,7098,15,11,122,1725,0,Antelope_2021,-121.87898002974084,41.48385718188839,Grass-Shrub,Shrub
866,3.4878,30.1031,36.8751,161,7011,25,22,206,1980,0,Antelope_2021,-121.88871990526415,41.50967313598562,Timber-Understory,Tree
590,4.6466,32.079998,41.3345,165,7027,55,3,273,1672,0,Antelope_2021,-121.89846693252895,41.53548901569534,Timber-Understory,Tree
924,4.6466,32.079998,41.3345,165,7172,0,7,337,1549,1,Antelope_2021,-121.90822111920986,41.56130482627946,Timber-Understory,Tree
